Station;Culture_start;Assay_start;Treatment_sal;Replicate;Time;Active
SW08;2022-08-31;2023-04-11;15;1;2;1
SW08;2022-08-31;2023-04-11;15;1;2;1
SW08;2022-08-31;2023-04-11;15;1;2;1
SW08;2022-08-31;2023-04-11;15;2;2;1
SW08;2022-08-31;2023-04-11;15;2;2;1
SW08;2022-08-31;2023-04-11;15;2;2;1
SW08;2022-08-31;2023-04-11;15;2;2;1
SW08;2022-08-31;2023-04-11;15;2;2;1
SW08;2022-08-31;2023-04-11;15;3;2;1
SW08;2022-08-31;2023-04-11;15;3;2;1
SW08;2022-08-31;2023-04-11;15;3;2;1
SW08;2022-08-31;2023-04-11;15;3;2;1
SW08;2022-08-31;2023-04-11;15;3;2;1
SW08;2022-08-31;2023-04-11;0.1;1;24;0
SW08;2022-08-31;2023-04-11;0.1;1;24;0
SW08;2022-08-31;2023-04-11;0.1;1;24;0
SW08;2022-08-31;2023-04-11;0.1;1;24;0
SW08;2022-08-31;2023-04-11;0.1;1;24;0
SW08;2022-08-31;2023-04-11;0.1;2;24;0
SW08;2022-08-31;2023-04-11;0.1;2;24;0
SW08;2022-08-31;2023-04-11;0.1;2;24;0
SW08;2022-08-31;2023-04-11;0.1;2;24;0
SW08;2022-08-31;2023-04-11;0.1;2;24;0
SW08;2022-08-31;2023-04-11;0.1;3;24;0
SW08;2022-08-31;2023-04-11;0.1;3;24;0
SW08;2022-08-31;2023-04-11;0.1;3;24;0
SW08;2022-08-31;2023-04-11;0.1;3;24;0
SW08;2022-08-31;2023-04-11;0.1;3;24;0
SW08;2022-08-31;2023-04-11;1;1;24;0
SW08;2022-08-31;2023-04-11;1;1;24;0
SW08;2022-08-31;2023-04-11;1;1;24;0
SW08;2022-08-31;2023-04-11;1;1;24;0
SW08;2022-08-31;2023-04-11;1;1;24;0
SW08;2022-08-31;2023-04-11;1;2;24;1
SW08;2022-08-31;2023-04-11;1;2;24;1
SW08;2022-08-31;2023-04-11;1;2;24;0
SW08;2022-08-31;2023-04-11;1;2;24;0
SW08;2022-08-31;2023-04-11;1;2;24;0
SW08;2022-08-31;2023-04-11;1;3;24;1
SW08;2022-08-31;2023-04-11;1;3;24;0
SW08;2022-08-31;2023-04-11;1;3;24;0
SW08;2022-08-31;2023-04-11;1;3;24;0
SW08;2022-08-31;2023-04-11;1;3;24;0
SW08;2022-08-31;2023-04-11;2;1;24;1
SW08;2022-08-31;2023-04-11;2;1;24;1
SW08;2022-08-31;2023-04-11;2;1;24;1
SW08;2022-08-31;2023-04-11;2;1;24;1
SW08;2022-08-31;2023-04-11;2;1;24;0
SW08;2022-08-31;2023-04-11;2;2;24;1
SW08;2022-08-31;2023-04-11;2;2;24;1
SW08;2022-08-31;2023-04-11;2;2;24;1
SW08;2022-08-31;2023-04-11;2;2;24;1
SW08;2022-08-31;2023-04-11;2;2;24;1
SW08;2022-08-31;2023-04-11;2;3;24;1
SW08;2022-08-31;2023-04-11;2;3;24;1
SW08;2022-08-31;2023-04-11;2;3;24;1
SW08;2022-08-31;2023-04-11;2;3;24;1
SW08;2022-08-31;2023-04-11;2;3;24;1
SW08;2022-08-31;2023-04-11;3;1;24;1
SW08;2022-08-31;2023-04-11;3;1;24;1
SW08;2022-08-31;2023-04-11;3;1;24;1
SW08;2022-08-31;2023-04-11;3;1;24;1
SW08;2022-08-31;2023-04-11;3;1;24;1
SW08;2022-08-31;2023-04-11;3;2;24;1
SW08;2022-08-31;2023-04-11;3;2;24;1
SW08;2022-08-31;2023-04-11;3;2;24;1
SW08;2022-08-31;2023-04-11;3;2;24;1
SW08;2022-08-31;2023-04-11;3;2;24;1
SW08;2022-08-31;2023-04-11;3;3;24;1
SW08;2022-08-31;2023-04-11;3;3;24;1
SW08;2022-08-31;2023-04-11;3;3;24;1
SW08;2022-08-31;2023-04-11;3;3;24;1
SW08;2022-08-31;2023-04-11;3;3;24;1
SW08;2022-08-31;2023-04-11;5;1;24;1
SW08;2022-08-31;2023-04-11;5;1;24;1
SW08;2022-08-31;2023-04-11;5;1;24;1
SW08;2022-08-31;2023-04-11;5;1;24;1
SW08;2022-08-31;2023-04-11;5;1;24;1
SW08;2022-08-31;2023-04-11;5;2;24;1
SW08;2022-08-31;2023-04-11;5;2;24;1
SW08;2022-08-31;2023-04-11;5;2;24;1
SW08;2022-08-31;2023-04-11;5;2;24;1
SW08;2022-08-31;2023-04-11;5;2;24;1
SW08;2022-08-31;2023-04-11;5;3;24;1
SW08;2022-08-31;2023-04-11;5;3;24;1
SW08;2022-08-31;2023-04-11;5;3;24;1
SW08;2022-08-31;2023-04-11;5;3;24;1
SW08;2022-08-31;2023-04-11;5;3;24;1
SW08;2022-08-31;2023-04-11;15;1;24;1
SW08;2022-08-31;2023-04-11;15;1;24;1
SW08;2022-08-31;2023-04-11;15;1;24;1
SW08;2022-08-31;2023-04-11;15;1;24;1
SW08;2022-08-31;2023-04-11;15;1;24;1
SW08;2022-08-31;2023-04-11;15;2;24;1
SW08;2022-08-31;2023-04-11;15;2;24;1
SW08;2022-08-31;2023-04-11;15;2;24;1
SW08;2022-08-31;2023-04-11;15;2;24;1
SW08;2022-08-31;2023-04-11;15;2;24;1
SW08;2022-08-31;2023-04-11;15;3;24;1
SW08;2022-08-31;2023-04-11;15;3;24;1
SW08;2022-08-31;2023-04-11;15;3;24;1
SW08;2022-08-31;2023-04-11;15;3;24;1
SW08;2022-08-31;2023-04-11;15;3;24;1
SW08;2022-08-31;2023-04-11;0.1;1;48;0
SW08;2022-08-31;2023-04-11;0.1;1;48;0
SW08;2022-08-31;2023-04-11;0.1;1;48;0
SW08;2022-08-31;2023-04-11;0.1;1;48;0
SW08;2022-08-31;2023-04-11;0.1;1;48;0
SW08;2022-08-31;2023-04-11;0.1;2;48;0
SW08;2022-08-31;2023-04-11;0.1;2;48;0
SW08;2022-08-31;2023-04-11;0.1;2;48;0
SW08;2022-08-31;2023-04-11;0.1;2;48;0
SW08;2022-08-31;2023-04-11;0.1;2;48;0
SW08;2022-08-31;2023-04-11;0.1;3;48;0
SW08;2022-08-31;2023-04-11;0.1;3;48;0
SW08;2022-08-31;2023-04-11;0.1;3;48;0
SW08;2022-08-31;2023-04-11;0.1;3;48;0
SW08;2022-08-31;2023-04-11;0.1;3;48;0
SW08;2022-08-31;2023-04-11;1;1;48;0
SW08;2022-08-31;2023-04-11;1;1;48;0
SW08;2022-08-31;2023-04-11;1;1;48;0
SW08;2022-08-31;2023-04-11;1;1;48;0
SW08;2022-08-31;2023-04-11;1;1;48;0
