x,y,days_below_so,days_below_so_fb,days_below_so_adj_95,days_total,days_below_so_adj_95fb,survival_so,survival_adj_95,survival_so_fb,survival_adj_95fb
5.08334383097562,53.8333334811898,0,0,0,153,0,100,100,100,100
5.08334383097562,53.9166668293088,0,0,0,153,0,100,100,100,100
5.08334383097562,54.0000001774278,0,0,0,153,0,100,100,100,100
5.08334383097562,54.0833335255468,0,0,0,153,0,100,100,100,100
5.08334383097562,54.1666668736658,0,0,0,153,0,100,100,100,100
5.08334383097562,54.2500002217847,0,0,0,153,0,100,100,100,100
5.08334383097562,54.3333335699037,0,0,0,153,0,100,100,100,100
5.08334383097562,54.4166669180227,0,0,0,153,0,100,100,100,100
5.08334383097562,54.5000002661417,0,0,0,153,0,100,100,100,100
5.08334383097562,54.5833336142607,0,0,0,153,0,100,100,100,100
5.08334383097562,54.6666669623796,0,0,0,153,0,100,100,100,100
5.08334383097562,54.7500003104986,0,0,0,153,0,100,100,100,100
5.08334383097562,54.8333336586176,0,0,0,153,0,100,100,100,100
5.08334383097562,54.9166670067366,0,0,0,153,0,100,100,100,100
5.08334383097562,55.0000003548556,0,0,0,153,0,100,100,100,100
5.08334383097562,55.0833337029745,0,0,0,153,0,100,100,100,100
5.08334383097562,55.1666670510935,0,0,0,153,0,100,100,100,100
5.08334383097562,55.2500003992125,0,0,0,153,0,100,100,100,100
5.08334383097562,55.3333337473315,0,0,0,153,0,100,100,100,100
5.08334383097562,55.4166670954505,0,0,0,153,0,100,100,100,100
5.08334383097562,55.5000004435695,0,0,0,153,0,100,100,100,100
5.08334383097562,55.5833337916884,0,0,0,153,0,100,100,100,100
5.08334383097562,55.6666671398074,0,0,0,153,0,100,100,100,100
5.08334383097562,55.7500004879264,0,0,0,153,0,100,100,100,100
5.08334383097562,55.8333338360454,0,0,0,153,0,100,100,100,100
5.08334383097562,55.9166671841644,0,0,0,153,0,100,100,100,100
5.08334383097562,56.0000005322833,0,0,0,153,0,100,100,100,100
5.08334383097562,56.0833338804023,0,0,0,153,0,100,100,100,100
